Nom Du Site,Type_sites_compostage,Modele_lombricomposteur,Adresse,Ville,Code_postal,Ouvert_au_public,Conditions_usage,Volume_valorise,Nombre_Contributeurs,Nombre_repas_annuel,Exploitant_structure,Exploitant_contact,Contact_responsable_site,Acteur_accompagnateur,Fonctionnement_du_site,Date_mise_en_route_du_site,x,y
Jean Moulin,Quartier,Plein sol bois,Quai Jean Moulin,Lyon,69001,Oui,"Inscription Sur Liste Des Utilisateurs, adherant association Eisenia",inf_5_t,43 Foyers,,Eisenia,eisenia.lombricom@gmail.com,eisenia.lombricom@gmail.com,Eisenia,"Ferme par code, les utilisateurs inscrits ont le code",,45.767484,4.838085
Bellevue,Quartier,Plein sol bois,Place Bellevue,Lyon,69001,Oui,"Inscription Sur Liste Des Utilisateurs, adherant association Eisenia",inf_5_t,31 Foyers,,Eisenia,eisenia.lombricom@gmail.com,eisenia.lombricom@gmail.com,Eisenia,"Ferme par code, les utilisateurs inscrits ont le code",,45.774366,4.836324
Villemanzy,Quartier,Plein sol bois,Rue Des Fantasques,Lyon,69001,Oui,"Inscription Sur Liste Des Utilisateurs, adherant association Eisenia",inf_5_t,26 Foyers,,Eisenia,eisenia.lombricom@gmail.com,eisenia.lombricom@gmail.com,Eisenia,"Ferme par code, les utilisateurs inscrits ont le code",,45.772154,4.835906
Mec,Quartier,Plein sol bois,36 Cours General Giroud (Jardin Des Chartreux),Lyon,69001,Non,Reserve La Mec Et Aux Aderents Alterconso,inf_5_t,15 Foyers,,Eisenia,eisenia.lombricom@gmail.com,eisenia.lombricom@gmail.com,Eisenia,,,45.768776,4.821336
Jardins Des Plantes Du Bas,Quartier,Plein sol bois,Montee Des Carmelites,Lyon,69001,Oui,"Inscription Sur Liste Des Utilisateurs, adherant association Eisenia",inf_5_t,71 Foyers,,Eisenia,eisenia.lombricom@gmail.com,eisenia.lombricom@gmail.com,Eisenia,"Ferme par code, les utilisateurs inscrits ont le code",,45.770147,4.829228
Jardins Des Plantes Du Haut,Quartier,Plein sol bois,Rue Des Tables Claudiennes,Lyon,69001,Oui,"Inscription Sur Liste Des Utilisateurs, adherant association Eisenia",inf_5_t,47 Foyers,,Eisenia,eisenia.lombricom@gmail.com,eisenia.lombricom@gmail.com,Eisenia,"Ferme par code, les utilisateurs inscrits ont le code",,45.770931,4.829586
Croix-Paquet,Quartier,Plein sol bois,Place Croix-Paquet,Lyon,69001,Oui,"Inscription Sur Liste Des Utilisateurs, adherant association Eisenia",inf_5_t,36 Foyers,,Eisenia,eisenia.lombricom@gmail.com,eisenia.lombricom@gmail.com,Eisenia,"Ferme par code, les utilisateurs inscrits ont le code",,45.770583,4.836605
Grande Cote,Quartier,Plein sol bois,Montee De La Grande Cote,Lyon,69001,Oui,"Inscription Sur Liste Des Utilisateurs, adherant association Eisenia",inf_5_t,40 Foyers,,Eisenia,eisenia.lombricom@gmail.com,eisenia.lombricom@gmail.com,Eisenia,"Ferme par code, les utilisateurs inscrits ont le code",,45.771787,4.831571
Genety,Quartier,Plein sol bois,Rue Dominique Perfetti,Lyon,69001,Oui,"Inscription Sur Liste Des Utilisateurs, adherant association Eisenia",inf_5_t,31 Foyers,,Eisenia,eisenia.lombricom@gmail.com,eisenia.lombricom@gmail.com,Eisenia,"Ferme par code, les utilisateurs inscrits ont le code",,45.771831,4.819515
Lycee Saint-Louis Saint-Bruno,Prive,Plein sol bois,16 Rue Des Chartreux,Lyon,69001,Non,Reserve College/Lycee,inf_5_t,,,College St-Louis /St-Bruno,,eisenia.lombricom@gmail.com,Eisenia,,,45.771184,4.816855
Rue De Flesselles,Prive,Hors sol plastique,Rue De Flesselles,Lyon,69001,Non,Reserve Au Habitants De La Copropriete,inf_5_t,6 Foyers,,,,,,,,45.770200,4.826662
Rue Jb Say,Prive,Hors sol plastique,Rue Jb Say,Lyon,69001,Non,Copropriete + Restaurant,inf_5_t,4 Foyers,,,,,,,,45.772964,4.831690
Newtree,Restaurant,Hors sol plastique,6 Rue De La Charite,Lyon,69002,Non,Reserve Au Restaurant,inf_5_t,,,Newtree,,eisenia.lombricom@gmail.com,Eisenia,,,45.755908,4.832897
Communaute sainte-Ignace,Prive,Plein sol bois,20 rue Sala,Lyon,69002,Non,Reserve a la communaute ,inf_5_t,,,Communaute Jesuite,,eisenia.lombricom@gmail.com,Eisenia,,20/05/19,45.756137,4.828959
Ferme peda croix rousse,Prive,Plein sol bois,,Lyon,69000,Non,Reserve a la Ferme,inf_5_t,,,Ferme Pedagogique de la Croix Rousse,,eisenia.lombricom@gmail.com,Eisenia,,,45.780439,4.815988
Gaia Coffee House,Prive,Plein sol bois,5 rue des Nuits,Lyon,69004,Non,Reserve Au Restaurant,inf_5_t,,,Gaïa Coffe House,,eisenia.lombricom@gmail.com,Eisenia,,09/05/19,45.778293,4.833893
Parc De La Garde,Prive,Plein sol bois,Rue Des Aqueduc,Lyon,69005,Oui,Adherer a l association,inf_5_t,50 Foyers,,,,eisenia.lombricom@gmail.com,Eisenia,"Ferme par code, les utilisateurs inscrits ont le code",,45.760803,4.790448
College Saint-Marc,Prive,Plein sol bois,11 rue soeur Bouvier,Lyon,69005,Non,Reserve aux collegiens,inf_5_t,,,College Saint-Marc,,eisenia.lombricom@gmail.com,Eisenia,,,45.7528,4.8123
Lycee La Trinite,Prive,Modele Plastique,31 Rue de Seze,Lyon,69006,Non,Reserve aux Lyceens,inf_5_t,,,Lycee La Trinite,,eisenia.lombricom@gmail.com,Eisenia,,,45.7729,4.8509
