gml_id,nom,typesite,adresse,infoloc,mail,url,commune,insee,codpostal,dateinstal,gid
gip_proprete.gipcomposteur_latest.1,Les Sources,Pied d'immeuble,14 Avenue des Sources,,,,Écully,69081,69130,2012-10-30,1
gip_proprete.gipcomposteur_latest.2,Noveo Park,Pied d'immeuble,91 rue Francis de Pressensé,Batiment D,,,Vénissieux,69259,69200,2018-05-09,2
gip_proprete.gipcomposteur_latest.3,De Lattre Tassigny,Pied d'immeuble,26 Avenue de Lattre de Tassigny,,,,Bron,69029,69500,2017-04-06,3
gip_proprete.gipcomposteur_latest.4,Résidence le Grillon,Pied d'immeuble,2 rue de Chantegrillet,,,,Francheville,69089,69340,2012-03-17,4
gip_proprete.gipcomposteur_latest.5,Le Petit ChAvenueril,Pied d'immeuble,80 A Chemin de ChAvenueril,,,,Sainte-Foy-lès-Lyon,69202,69110,2013-06-08,5
gip_proprete.gipcomposteur_latest.6,Jardin partagé Monplaisir - 1 rue Saint Matthieu,Quartier,1 rue Saint Matthieu,,jardinpartagemonplaisir@gmail.com,,Lyon 8e Arrondissement,69388,69008,2018-04-19,6
gip_proprete.gipcomposteur_latest.7,Les Bruyères,Pied d'immeuble,8 chemin des Bruyères,du 8 au 14,,,Écully,69081,69130,2014-11-29,7
gip_proprete.gipcomposteur_latest.8,Neuville en Sel,Quartier,12 rue Pierre Dugelay,,neuville.en.sel@gmail.com,,Neuville-sur-Saône,69143,69250,2019-03-07,8
gip_proprete.gipcomposteur_latest.9,Square République 2,Pied d'immeuble,101 cours Emile Zola,,,,Villeurbanne,69266,69100,2019-04-25,9
gip_proprete.gipcomposteur_latest.10,Square Jacques Prévert,Quartier,59 cours Tolstoï,dans le square Jacques PREVERT,prevert.compost@gmail.com,,Villeurbanne,69266,69100,2019-05-20,10
gip_proprete.gipcomposteur_latest.11,Roosevelt jardins de fort,Quartier,1 avenue de la République,dans le square de la République,conseilsdequartier@ville-bron.fr,,Bron,69029,69500,2019-10-02,11
gip_proprete.gipcomposteur_latest.12,Chantoiseau B,Pied d'immeuble,9 H montée des soldats,,,,Caluire-et-Cuire,69034,69300,2019-10-18,12
gip_proprete.gipcomposteur_latest.13,Le Canter,Pied d'immeuble,18 rue de la Doua,,,,Villeurbanne,69266,69100,2019-10-22,13
gip_proprete.gipcomposteur_latest.14,Les perspectives,Pied d'immeuble,21 rue Clément Michut,du 19 au 23,,,Villeurbanne,69266,69100,2019-10-30,14
gip_proprete.gipcomposteur_latest.15,Jardin des Emmeraudes,Quartier,9 rue des Emeraudes,,jardin.emeraudes@outlook.com,,Lyon 6e Arrondissement,69386,69006,2015-11-07,15
gip_proprete.gipcomposteur_latest.16,Envie partagée,Quartier,68 quai Rambaud,"dans le jardin partagé ""envie partagée""",enviepartagee@gmail.com,,Lyon 2e Arrondissement,69382,69002,2017-11-18,16
gip_proprete.gipcomposteur_latest.17,Composteur de la Madeleine,Quartier,2 rue de la madeleine,acroisement rue de la madeleine et grande rue de la guillotière,composteurs.emir@mailo.com,,Lyon 7e Arrondissement,69387,69007,2018-01-30,17
gip_proprete.gipcomposteur_latest.18,Le nouveau trion,Pied d'immeuble,67 rue de Trion,du 63 au 69,,,Lyon 5e Arrondissement,69385,69005,2018-09-14,18
gip_proprete.gipcomposteur_latest.19,Gingko B,Pied d'immeuble,33 rue du 24 mars 1852,,,,Lyon 9e Arrondissement,69389,69009,2019-10-31,19
gip_proprete.gipcomposteur_latest.20,Composteur Edgar Quinet,Quartier,44 rue Vauban,Angle des rues Vauban et Vendôme (sur la contre-allée),composteur-quinet@laposte.net,,Lyon 6e Arrondissement,69386,69006,2020-03-07,20
gip_proprete.gipcomposteur_latest.21,TUBA Composte,Quartier,8 Rue Juliette Récamier,,,,Lyon 6e Arrondissement,69386,69006,2020-06-04,21
gip_proprete.gipcomposteur_latest.22,Village vertical Villeurbanne,Pied d'immeuble,3 rue Terracher,,,,Villeurbanne,69266,69100,2013-11-30,22
gip_proprete.gipcomposteur_latest.23,Résidence Leclerc,Pied d'immeuble,21 Avenue Leclerc,du 19 au 21 ter,,,Tassin-la-Demi-Lune,69244,69160,2020-02-05,23
gip_proprete.gipcomposteur_latest.24,MJC vieux Lyon,Quartier,Place Valencio,,,,Lyon 5e Arrondissement,69385,69005,2012-11-24,24
gip_proprete.gipcomposteur_latest.25,Les Pierres Plantées,Pied d'immeuble,9 et 11 rue des Pierres Plantées,,,,Lyon 1er Arrondissement,69381,69001,2013-02-23,25
gip_proprete.gipcomposteur_latest.26,MJC Confluence Perrache,Quartier,"Terrasse Saône du Centre d'Echanges de Lyon Perrache, Cours de Verdun",,compost@mjc-confluence.fr,,Lyon 2e Arrondissement,69382,69002,2013-12-04,26
gip_proprete.gipcomposteur_latest.27,Mazagrand,Quartier,Place Mazagran,,,,Lyon 7e Arrondissement,69387,69007,2015-03-08,27
gip_proprete.gipcomposteur_latest.28,Parc Bazin,Quartier,Parc bazin,côté rue des accacias,montchat.vert@gmail.com,,Lyon 3e Arrondissement,69383,69003,2017-09-01,28
gip_proprete.gipcomposteur_latest.29,Les Florianes,Pied d'immeuble,25 rue du Colonel Girard,,,,Lyon 7e Arrondissement,69387,69007,2017-10-12,29
gip_proprete.gipcomposteur_latest.30,Jardins suspendus,Quartier,"Centre d'échange de perrache, terrasse Saône",dans le jardin suspendus,compost@mjc-confluence.fr,,Lyon 2e Arrondissement,69382,69002,2017-11-18,30
gip_proprete.gipcomposteur_latest.31,Parc Roquette,Quartier,Parc Roquette,,idees.9@lilo.org,,Lyon 9e Arrondissement,69389,69009,2017-11-21,31
gip_proprete.gipcomposteur_latest.32,Square pelloux,Quartier,square Pierre Pelloux,,pelloux@voltaire.org,,Lyon 3e Arrondissement,69383,69003,2018-12-15,32
gip_proprete.gipcomposteur_latest.33,Trarieux (square Noël Aymard),Quartier,square Noël Aymard,,compost.trarieux@gmail.com,,Lyon 3e Arrondissement,69383,69003,2019-04-09,33
gip_proprete.gipcomposteur_latest.34,Jardin des 44 enfants d'Izieu,Quartier,Jardin des 44 enfants d'Izieu,,compostjardinIzieu@gmail.com,,Lyon 7e Arrondissement,69387,69007,2019-05-22,34
gip_proprete.gipcomposteur_latest.35,Le compost Masaryk,Quartier,16 Quai Hippolyte Jaÿr,,Lecompostmazaryk@gmail.com,,Lyon 9e Arrondissement,69389,69009,2019-10-09,35
gip_proprete.gipcomposteur_latest.36,Lugdunum,Pied d'immeuble,157 Montée de Choulans,et 159,,,Lyon 5e Arrondissement,69385,69005,2019-10-14,36
gip_proprete.gipcomposteur_latest.37,Le Prieuré,Pied d'immeuble,63 bis rue Hénon,,,,Lyon 4e Arrondissement,69384,69004,2019-12-18,37
gip_proprete.gipcomposteur_latest.38,Compost Bahadourian (de la Guill),Quartier,Place Bahadourian,,composterre69@gmail.com,,Lyon 3e Arrondissement,69383,69003,2020-06-02,38
gip_proprete.gipcomposteur_latest.39,Le saxe-gambetta,Pied d'immeuble,5 rue Alphonse Daudetet 324 rue Duguesclin,et 7 rue Alphonse Daudetet et 324 rue Duguesclin,,,Lyon 7e Arrondissement,69387,69007,2020-06-15,39
gip_proprete.gipcomposteur_latest.40,Composteur de la Martinière,Quartier,Place Rambaud,,martine.composte@lilo.org,,Lyon 1er Arrondissement,69381,69001,2019-12-15,40
gip_proprete.gipcomposteur_latest.41,Trêves Pâques,Quartier,Place Général de Gaulle,,,,Collonges-au-Mont-d'Or,69063,69660,2017-11-17,41
gip_proprete.gipcomposteur_latest.42,Les jardins d'Aurélie,Pied d'immeuble,189 rue pressensé,,,,Villeurbanne,69266,69100,2018-04-23,42
gip_proprete.gipcomposteur_latest.43,Graines de Fleurentin,Quartier,47 Bis grande rue de Fleurieur,Jardin de la cure - rue du stade,,,Fleurieu-sur-Saône,69085,69250,2018-07-02,43
gip_proprete.gipcomposteur_latest.44,Résidence les dames,Pied d'immeuble,15 Avenue du 11 novembre 1918,du 07 au 25,,,Sainte-Foy-lès-Lyon,69202,69110,2019-05-02,44
gip_proprete.gipcomposteur_latest.45,Résidence Mansart,Pied d'immeuble,12 rue François Mansart,du 12 au 17,,,Saint-Priest,69290,69800,2019-09-24,45
gip_proprete.gipcomposteur_latest.46,Les Charpennes,Pied d'immeuble,109 rue de Pressensé,et 111,,,Villeurbanne,69266,69100,2019-11-07,46
gip_proprete.gipcomposteur_latest.47,La Ferme Croix-Rousse,Quartier,51 rue Philippe de Lassalle,"dans la ferme de la croix rousse, accès par le 86 rue chazière",compost.fermexr@gmail.com,,Lyon 4e Arrondissement,69384,69004,2019-04-03,47
gip_proprete.gipcomposteur_latest.48,Square de la Rotonde,Quartier,Place Anatole France,dans le passage vers la rue Narcisse Bertholey,composteurlarotonde@gmail.com,,Oullins,69149,69600,2019-04-11,48
gip_proprete.gipcomposteur_latest.49,Composteur du val de Saône,Quartier,allée du stade,,compost.sathonaycamp@gmail.com,,Sathonay-Camp,69292,69580,2019-12-10,49
gip_proprete.gipcomposteur_latest.50,Valombre,Pied d'immeuble,allée de Valombre,,,,Caluire-et-Cuire,69034,69300,2019-12-12,50
gip_proprete.gipcomposteur_latest.51,L'impasse Chevreuil,Quartier,impasse Chevreul,,compostchevreul@gmail.com,,Villeurbanne,69266,69100,2020-04-03,51
gip_proprete.gipcomposteur_latest.52,Jules Guesde,Quartier,Place Jules Guesde,dans le square,compost.julesguesde@gmail.com,https://compostjulesguesde.weebly.com,Lyon 7e Arrondissement,69387,69007,2017-04-08,52
gip_proprete.gipcomposteur_latest.53,Sainte Blandine,Quartier,place de l'hippodrome,"derrière l'Eglise, rue smith",compost@mjc-confluence.fr,,Lyon 2e Arrondissement,69382,69002,2018-01-30,53
gip_proprete.gipcomposteur_latest.54,Dauphiné,Pied d'immeuble,rue du Dauphiné,,,,Lyon 3e Arrondissement,69383,69003,2018-05-17,54
gip_proprete.gipcomposteur_latest.55,Place de l'Europe,Quartier,Place de l'Europe,,composteurdeleurope@gmail.com,,Lyon 6e Arrondissement,69386,69006,2018-10-11,55
gip_proprete.gipcomposteur_latest.56,Place Stalingrad,Quartier,place Stalingrad,,compostalingrad@gmail.com,,Lyon 7e Arrondissement,69387,69007,2019-03-26,56
gip_proprete.gipcomposteur_latest.57,Composteur Briand Lyon,Quartier,Place Aristide Briand,,briand@volterre.org,,Lyon 3e Arrondissement,69383,69003,2019-12-14,57
gip_proprete.gipcomposteur_latest.58,Résidence Le Consulat,Pied d'immeuble,50 rue Pierre Brunier,,,,Caluire-et-Cuire,69034,69300,2012-05-05,58
